Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Shanks Enterprises Inc Transfer Station,7639 Evergreen Street,,Lima,NY,14485,Livingston,8,5856242126,Shanks Enterprises Inc,Private,Transfer facility - permit,[26TP0019],Yes,287462,4753088,,MSW (Residential/Institutional & Commercial);Asbestos (Non-Friable);Corrugated Cardboard;Single Stream,Permit,8-2432-00038/00001,02/21/2017,12/31/2026,"7639 Evergreen Street
Lima, NY 14485
(42.903157, -77.605067)"
Laflesh's Garage,1297 State Highway 420,,Brasher Falls,NY,13613,St. Lawrence,6,3157696544,Gene LaFlesh,Private,VDF - large - registration,[45V50025],Yes,512078,4966356,4.1 - Address Matching,End of Life Vehicles,Registration,45V50025,11/19/2019,11/18/2024,"1297 State Highway 420
Brasher Falls, NY 13613
(44.850529, -74.846805)"
Lake George Transfer Station,70 Transfer Road,PO Box 392,Lake George,NY,12845,Warren,5,5186682742,Town of Lake George,Municipal,RHRF - 5 tpd or less - registration,[57R10003],Yes,603017,4805828,,Other Non-Ferrous Scrap Metal;Container Glass;Paperboard/Boxboard;Commingled Paper,Registration,57R10003,11/01/2018,10/31/2023,"70 Transfer Road
Lake George, NY 12845
(43.400627, -73.728578)"
James Property - Great Lakes Cheese,4418 Haskell Road,,Cuba,NY,14727,Allegany,9,5859681552,Great Lakes Cheese; Inc.,Private,Land application - UFPW - registration,[02A30006],Yes,229161,4676517,1 - No accuracy stated,Non-recognizable Food Processing Waste,Registration,02A30006,10/17/2018,10/17/2023,"4418 Haskell Road
Cuba, NY 14727
(42.196985, -78.277041)"
Danskammer Landfill(Mercia),994 River Road,Danskammer Generation Station,Newburgh,NY,12550,Orange,3,8455639116,Helios Power Capital LLC,Private,Landfill - industrial waste monofill - permit,[36N01],Yes,586321,4602888,,Ash (Coal-Fly);Ash (Coal-Bottom),Permit,3-3346-00011/00018,12/05/2018,11/13/2021,"994 River Road
Newburgh, NY 12550
(41.571641, -73.976941)"
Broe Bank Sand & Gravel Mine,399 Hemlock Road,,Milford,NY,13820,Otsego,4,6074320611,Cobleskill Stone Products; Inc.,Private,CDDHRF - asphalt pavement and millings - registration,[39C24001],Yes,470183,500860,,Asphalt Millings,Registration,39C24001,06/24/2019,06/24/2024,"399 Hemlock Road
Milford, NY 13820
(42.46991, -74.984068)"
Long Island Compost Farm #06,Wading River Road (west side of road at LIE North Svce Rd),SCTM 200-460-2-7,Manorville,NY,11949,Suffolk,1,,Long Island Compost Corp.,Private,Composting - yard waste  - registration,[52Y33R],Yes,683241,4525931,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,Registration,52Y33R,05/24/2005,,
Chemung County Sanitary Landfill,1488 County Route 60,,Chemung,NY,14825,Chemung,8,8002273552,Chemung County,County,Landfill - MSW - permit,[08S02],Yes,360822,4654736,,Non-Radioactive;Construction & Demolition Debris;Petroleum Contaminated Soil;Industrial;MSW (Residential/Institutional & Commercial),Permit,8-0728-00004/00013,06/02/2016,06/01/2026,"1488 County Route 60
Chemung, NY 14825
(42.070524, -77.73724)"
Polkville Crushed Stone,3779 US Route 11,,McGraw,NY,13101,Cortland,7,6077533358,Suit-Kote Corporation,Private,C&D processing - registration,[12W01],Yes,407121,4715589,,Asphalt;Concrete;Soil (Clean),Registration,12W01,06/07/2016,,"3779 US Route 11
McGraw, NY 13101
(42.582495, -76.126761)"
Performance Auto Sales,22456 Route 22,,Eagle Bridge,NY,12057,Rensselaer,4,5186864268,Marty Wolfram,Private,VDF - large - registration,[42V52803],Yes,633549,4754994,,End of Life Vehicles,Registration,42V52803,06/11/2019,03/22/2024,"22456 Route 22
Eagle Bridge, NY 12057
(42.935515, -73.363953)"
Poughkeepsie (T) Highway Dept,8 Burnett Boulevard,,Poughkeepsie,NY,12603,Dutchess,3,9144521750,Town of Poughkeepsie,Municipal,Transfer facility - registration,[14T10006],Yes,592439,4616435,,MSW (Residential/Institutional & Commercial);Yard Waste;Electronics,Registration,14R13,,,"8 Burnett Boulevard
Poughkeepsie, NY 12603
(41.696022, -73.888393)"
Steuben Brewing Co. LLC,10286 Judson Rd,,Hammondsport,NY,14840,Steuben,8,6073323000,Candice Zimar,,Land application - UFPW - registration,[51A30004],Yes,320284,4707815,,Non-recognizable Food Processing Waste,Registration,51A30004,11/25/2017,11/24/2022,"10286 Judson Rd
Hammondsport, NY 14840
(42.501944, -77.187441)"
Ira Transfer Station,12475 Bradt Road,,Cato,NY,13033,Cayuga,7,3156266905,Town of Ira,Municipal,Transfer facility - registration,[06T10013],Yes,372807,4786516,,MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous);Single Stream;Waste Tires,Registration,06T10013,02/21/2019,02/21/2024,"12475 Bradt Road
Cato, NY 13033
(43.22053, -76.56601)"
Wellsville Transfer Station,77 West Dyke Street,,Wellsville,NY,14895,Allegany,9,5852689230,Allegany County DPW,County,RHRF - 5 tpd or less - registration,[02R10018],Yes,256967,4666378,4.2 - Utilization of GIS and existing spatial data,Paperboard/Boxboard;Commingled Paper;Container Glass;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Plastic;Other - Batteries;Textiles,Registration,02R10018,10/08/2019,10/07/2024,"77 West Dyke Street
Wellsville, NY 14895
(42.114871, -77.948219)"
McCarthy Tire Service Co. of NY Inc,3160 Lake Road,,Horseheads,NY,14845,Chemung,8,6077337044,Gen - 4 - Holdings LLC.,Private,WTHRF - retreader - registration,[08W30006],Yes,350072,4667293,1 - No accuracy stated,Waste Tires;Whole Tires - passenger;Whole Tires - truck,Registration,08K13,,,"3160 Lake Road
Horseheads, NY 14845
(42.142617, -76.814387)"
A & J Towing & Auto Body Inc,21 Saw Mill River Road,,Yonkers,NY,10701,Westchester,3,9144233409,William Mulvaney,Private,Vehicle Dismantling Facility,[60J01],Yes,593961,4532709,,,,,,,"21 Saw Mill River Road
Yonkers, NY 10701
(40.939913, -73.883705)"
McEnroe Organic Farm,194 Coleman Station Rd,,Millerton,NY,12546,Dutchess,3,5187893252,Ray McEnroe,,Composting - source separated organic waste - permit,[14C03],Yes,622735,4640095,4.3 - Utilization of Digital Orthophoto Quads,Manure;Food Scraps,Permit,3-1338-00048/00009,02/25/2019,02/24/2024,"194 Coleman Station Rd
Millerton, NY 12546
(41.902666, -73.519556)"
LeRoy TS (T),1 Circular Hill Road,,LeRoy,NY,14482,Genesee,8,5857688744,Town of LeRoy,Municipal,Transfer facility - registration,[19T10009],Yes,259076,4764169,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Wood (Brush/ Branches/ Trees/ Stumps);Corrugated Cardboard;Junk Mail;Newspaper;Magazines;Office Paper;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Electronics,Registration,19R12,10/28/1996,,
Simsmetal East; LLC,167 West River Road,,Frankfort,NY,13340,Herkimer,6,3157354451,Simsmetal East; LLC,Private,VDF - large - registration,[22V50003],Yes,487127,4770404,1 - No accuracy stated,End of Life Vehicles,Registration,22V50003,02/05/2019,02/04/2024,"167 West River Road
Frankfort, NY 13340
(43.086093, -75.15747)"
Metal Recovery LLC,1680 Flat Street,,Penn Yan,NY,14527,Yates,8,3155366194,Ross Newcomb,Private,VDF - large - registration,[62V50010],Yes,331782,4727685,1 - No accuracy stated,Scrap Metal - Aluminum ;Refrigerant;Diesel Fuel;Gasoline;Engine Coolant/Antifreeze;Scrap Metal - Ferrous ;Lead-acid Batteries;Waste Tire;Window Washing Fluid,,62V50010,09/13/2019,09/12/2024,"1680 Flat Street
Penn Yan, NY 14527
(42.683092, -77.051401)"
Ray Lantz Garage Inc,230 Tiona Road,PO Box 193,Maine,NY,13802,Broome,7,6078623350,Donald G. Lantz,Private,VDF - large - registration,[04V50028],Yes,412384,4674675,,End of Life Vehicles,,DMV 4040373,,03/06/2019,"230 Tiona Road
Maine, NY 13802
(42.220343, -76.061191)"
Perry City Automotive,6211 Brook Road,,Trumansburg,NY,14886,Tompkins,7,6073875892,Joseph J Allen,Private,Motor vehicle repair shop - large - registration,[55V40008],Yes,361857,4706862,,End of Life Vehicles,Registration,55V40008,10/08/2019,10/08/2024,"6211 Brook Road
Trumansburg, NY 14886
(42.50116, -76.682034)"
Lake George Sand & Gravel LCD,70 Transfer Road,,Lake George,NY,12845,Warren,5,5187984151,Cutting Edge Group LLC,Private,Landfill - land clearing debris,[57D13],Yes,603017,4805828,,Land Clearing Debris,Registration,57D13,10/23/2002,,"70 Transfer Road
Lake George, NY 12845
(43.400627, -73.728578)"
Allegany County Landfill,6006 County Road 48,,Angelica,NY,14709,Allegany,9,5852685400,Allegany County DPW,County,Transfer station - permit,[02T08],Yes,249498,4683221,4.2 - Utilization of GIS and existing spatial data,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous);White Goods,Permit,9-0232-00008/00011,04/24/2013,04/23/2023,
Johnson Gravel Pit,4110 Silver Springs Road,,Silver Springs,NY,14550,Wyoming,9,5857865880,Edward Hulme Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[61C60013],Yes,246795,4731087,4.2 - Utilization of GIS and existing spatial data,Soil (Clean),Registration,61C60013,08/05/2020,08/05/2025,"4110 Silver Springs Road
Silver Springs, NY 14550
(42.689983, -78.089095)"
F & B Recycling,2138 Casehill Road,,Lafayette,NY,13084,Onondaga,7,3153827781,Frederick D. Powers III,Private,VDF - small - registration,[34V20022],Yes,403361,4747710,,Mercury Switches;Scrap Metal - Ferrous ;Scrap Metal - Aluminum ;Lead Weights;Lead-acid Batteries;Waste Tire;End of Life Vehicles,,DMV #7050324,,02/24/2019,"2138 Casehill Road
Lafayette, NY 13084
(42.875049, -76.183476)"
New Enterprise Stone & Lime; Co.; Inc. Barton Facility,91 Barton Road,,Lancaster,NY,14086,Erie,9,7165669633,New Enterprise Stone & Lime Co.; Inc.,Private,C&D processing - registration,[15W63],Yes,202092,4762070,4.2 - Utilization of GIS and existing spatial data,Asphalt,Registration,15W63,07/06/2016,,"91 Barton Road
Lancaster, NY 14086
(42.954894, -78.652276)"
Auto Salvage Technologies Inc,3107 State Route 28,,Herkimer,NY,13350,Herkimer,6,3158667278,Albert Doolen,Private,VDF - small - registration,[22V20011],Yes,501269,4764503,,End of Life Vehicles,,22V20011,02/05/2020,02/04/2025,"3107 State Route 28
Herkimer, NY 13350
(43.049843, -74.985975)"
Fiacco LCD,69 South Main Street,,Norwood,NY,13668,St. Lawrence,6,3153532041,Tom Fiacco Jr.,Private,Landfill - land clearing debris,[45D18],Yes,500692,4954457,4.1 - Address Matching,Land Clearing Debris,Registration,45D17,08/10/2015,,"69 South Main Street
Norwood, NY 13668
(44.743098, -74.991926)"
Cayuga Regional Digester,7389 County House Road,,Auburn,NY,13021,Cayuga,7,3152827045,Generate Capital; Inc.,Private,Anaerobic digestion - permit,[06PP0007],Yes,374125,4759384,,Manure;Non-recognizable Food Processing Waste,Permit,,07/17/2018,09/11/2026,"7389 County House Road
Auburn, NY 13021
(42.975187, -76.545702)"
Attica Transfer Station,43 Exchange Street,,Attica,NY,14011,Wyoming,9,5855910464,Village of Attica,Municipal,RHRF - 5 tpd or less - registration,[61R10012],Yes,232216,4750725,4.2 - Utilization of GIS and existing spatial data,Container Glass;Newspaper;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Plastic;Paperboard/Boxboard,Registration,61R10012,12/11/2019,12/11/2024,"43 Exchange Street
Attica, NY 14011
(42.862565, -78.280454)"
Double Z Motors Inc,212 Route 9,,Fishkill,NY,12524,Dutchess,3,8458967930,Peter Zalys,Private,VDF - large - registration,[14V50009],Yes,591829,4595309,,End of Life Vehicles,Registration,14V50009,03/06/2019,03/05/2024,"212 Route 9
Fishkill, NY 12524
(41.503842, -73.900404)"
Green Pines Septic,682 Starkville Road,,Fort Plain,NY,13339,Montgomery,4,5189935407,Patricia Prezestrzelski,,Land application - septage - registration,[29A43002],Yes,520225,4748655,,Septage,Registration,29A43002,04/01/2019,04/01/2024,"682 Starkville Road
Fort Plain, NY 13339
(42.889701, -74.752539)"
Oneida Herkimer Organics Composting Project,80 Leland Ave. Ext.,,Utica,NY,13502,Oneida,6,3157380417,Oneida Herkimer Solid Waste Authority,,Composting - SSO - registration,[33P20002],Yes,484432,4772023,4.2 - Utilization of GIS and existing spatial data,Source Separated Organic Waste (SSOW),Registration,33P20002,09/13/2018,09/12/2023,
Orchard Park Yard Waste Compost,6909 Milestrip Road,,Orchard Park,NY,14127,Erie,9,7166626066,Town of Orchard Park,Municipal,Composting - yard waste - permit,[15Y22],Yes,194781,4743987,4.3 - Utilization of Digital Orthophoto Quads,Leaves,Permit,9-1460-00139/00001,04/01/2013,03/31/2023,"6909 Milestrip Road
Orchard Park, NY 14127
(42.789063, -78.732211)"
Geddes Transfer Station,654 South Terry Road,,Syracuse,NY,13209,Onondaga,7,3154887705,Town of Geddes,Municipal,Transfer facility - registration,[34T10024],Yes,400636,4765206,4 - GIS Assisted,Construction & Demolition Debris;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste;Metals (Ferrous & Non-Ferrous),Registration,34T10024,10/08/2019,10/08/2024,"654 South Terry Road
Syracuse, NY 13209
(43.033245, -76.219649)"
St. Lawrence County Star Lake Transfer Station,4582 State Highway 3,,Star Lake,NY,13690,St. Lawrence,6,3153799084,St. Lawrence County Solid Waste Dept.,County,RHRF - 5 tpd or less - registration,[45R10021],Yes,499654,4890110,4.1 - Address Matching,Electronics;Single Stream;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Textiles,Registration,45R10021,11/18/2019,11/17/2024,"4582 State Highway 3
Star Lake, NY 13690
(44.164902, -75.004788)"
Ulster TS (T),901 Miron Lane,,Kingston,NY,12401,Ulster,3,8453360311,Town of Ulster,Municipal,Transfer facility - registration,[56T10002],Yes,584136,4645766,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Electronics,Registration,56R18,,,"901 Miron Lane
Kingston, NY 12401
(41.959923, -73.983013)"
Town of Skaneateles Transfer Station,1676 Old Seneca Turnpike,,Skaneateles,NY,13152,Onondaga,7,3156734190,Town of Skaneateles,Municipal,Transfer facility - registration,[34T10060],Yes,386696,4759550,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Waste Oil (Other);Single Stream;Wood (Brush/ Branches/ Trees/ Stumps);Clean Fill;Metals (Ferrous & Non-Ferrous);Electronics,Registration,34T10060,07/25/2018,07/24/2023,"1676 Old Seneca Turnpike
Skaneateles, NY 13152
(42.980333, -76.389279)"
Alpha Jamesville Facility,Ogle Road,,Jamesville,NY,13078,Onondaga,7,3154335115,Syracuse Sand and Gravel LLC,Private,C&D processing - registration,[34W11],Yes,409509,4761931,4 - GIS Assisted,Asphalt;Concrete;Soil (Clean);Rock,Registration,34W11,07/09/2012,,
Cardinal Health Nuclear Pharmacy Services #1034,7 Walker Way,,Colonie,NY,12205,Albany,4,5188620213,Cardinal Health 414 LLC,,RMW - treatment at the site of generation - registration,[01J20101],Yes,669889,1415633,,Regulated Medical Waste,Registration,,,,"7 Walker Way
Colonie, NY 12205
(42.716942, -73.838466)"
Baroni Recycling Inc,1913 Route 44,,Pleasant Valley,NY,12569,Dutchess,3,8457234151,Mike Baroni,Private,VDF - large - registration,[14V50007],Yes,600014,4623041,,End of Life Vehicles,Registration,14V50007,03/05/2019,03/04/2024,"1913 Route 44
Pleasant Valley, NY 12569
(41.752816, -73.796797)"
University at Buffalo (SUNY) South Campus,220 Winspear Avenue,278 Biomedical Research Building,Buffalo,NY,14215,Erie,9,7168293301,University at Buffalo (SUNY),State,RMW - treatment at the site of generation - registration,[15J20082],Yes,188653,4762782,4.2 - Utilization of GIS and existing spatial data,Regulated Medical Waste,Registration,15J20082,,,"220 Winspear Avenue
Buffalo, NY 14215
(42.949042, -78.818336)"
Smithtown Municipal Services Facility,85 Old Northport Rd,,Kings Park,NY,11754,Suffolk,1,6312696600,Town of Smithtown,Municipal,Mulch processing - permit,[52MP0256],Yes,645352,4525730,4.3 - Utilization of Digital Orthophoto Quads,Wood (Brush/ Branches/ Trees/ Stumps),Permit,1-4734-01810/0002,09/23/2020,09/22/2025,"85 Old Northport Rd
Kings Park, NY 11754
(40.873531, -73.274069)"
Northern Services,16 Ireland Road,,Hammond,NY,13646,St. Lawrence,6,3154861711,Randy Huot,Private,Storage - septage - registration,[45G06],Yes,446429,4926362,,,Registration,,,,"16 Ireland Road
Hammond, NY 13646
(44.739411, -75.092737)"
Visone Construction,79 Sheldon Ave,,Depew,NY,14043,Erie,9,7166817331,A-C Transport Co. Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[15C60077],Yes,199704,4757538,1 - No accuracy stated,Gravel;Sand;Rock;Soil (Clean),Registration,15C60077,05/15/2020,05/15/2025,"79 Sheldon Ave
Depew, NY 14043
(42.911371, -78.678663)"
Lockport Recycling Center LLC,178 Oakhurst Street,,Lockport,NY,14094,Niagara,9,7164331371,Charles W. Heinrich,Private,CDDHRF - asphalt pavement and millings - registration,[32C20009],Yes,197648,4786586,4.2 - Utilization of GIS and existing spatial data,Asphalt Millings;Asphalt Pavement,Registration,32C20009,10/15/2020,12/26/2028,"178 Oakhurst Street
Lockport, NY 14094
(43.170776, -78.719718)"
A&T Auto Salvage Inc.,170-25 Liberty Avenue,,Jamaica,NY,11433,Queens,2,7182913767,A&T Auto Salvage Inc.,,VDF - large - registration,[41V50002],Yes,602401,4506579,4.2 - Utilization of GIS and existing spatial data,Engine Coolant/Antifreeze;End of Life Vehicles;Lead-acid Batteries;Mix Coolant/Engine Oil/Washing Fluid/Water,Registration,41V50002,10/31/2019,10/30/2024,"170-25 Liberty Avenue
Jamaica, NY 11433
(40.703601, -73.787901)"
Gershow Recycling of Freeport,143 Hanse Avenue,,Freeport,NY,11520,Nassau,1,5166340644,Gershow Recycling of Freeport Inc,Private,VDF - large - registration,[30V50102],Yes,620800,4500610,,,Registration,,,,"143 Hanse Avenue
Freeport, NY 11520
(40.647433, -73.572256)"
Lowman Drop-off Center,1488 County Rte 60,,Lowman,NY,14861,Chemung,8,8002273552,Chemung County,County,Transfer facility - registration,[08T10012],Yes,360714,4654334,,MSW (Residential/Institutional & Commercial),Registration,08T10012,03/27/2020,03/27/2025,"1488 County Rte 60
Lowman, NY 14861
(42.070524, -77.73724)"
Fore Recycling Inc,982 State Route 21,,Shortsville,NY,14548,Ontario,8,5852897400,Becks Recycling Solutions Inc.,Private,Scrap metal processor - registration,[35V30008],Yes,318659,4761985,1.1 - Obtained from original submission and unverified process,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,,35V30008,11/03/2020,11/02/2025,"982 State Route 21
Shortsville, NY 14548
(42.989109, -77.22411)"
City of Auburn Transfer Station,311 N. Division St.,,Auburn,NY,13021,Cayuga,7,3152554180,City of Auburn,,RHRF - 5 tpd or less - registration,[06R10031],Yes,370550,4756664,,Clear Glass;Commingled Containers;Container Glass;Other Aluminum Scrap Metal;Other Non-Ferrous Scrap Metal;Paperboard/Boxboard;Plastic;Single Stream;PET;Enameled Appliances / White Goods;Propane Tanks,,06R10031,07/26/2019,07/25/2024,"311 N. Division St.
Auburn, NY 13021
(42.951885, -76.586778)"
Try Recycling Services LLC,135 South Second St.,,Bayshore,NY,11706,Suffolk,1,6315861165,Try Recycling Services LLC,Private,Transfer station - permit,[52W54],Yes,644373,4514368,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Wood (Brush/ Branches/ Trees/ Stumps),Permit,1-4728-01451/00001,07/01/2017,06/30/2022,"135 South Second St.
Bayshore, NY 11706
(40.767305, -73.289231)"
